医院,姓名,科室,评分,擅长,简介,医疗服务
北京儿童医院,王天有,小儿血液科,3.7,儿童白血病、儿童淋巴瘤、儿童贫血,主任医师，小儿血液专科，在儿童血液系统疾病诊治方面有丰富经验。,cancer treatment; CAR-T cell therapy
北京儿童医院,吴润晖,小儿血液科,3.7,儿童白血病、儿童淋巴瘤、儿童贫血,主任医师，小儿血液专科，在儿童血液系统疾病诊治方面有丰富经验。,cancer treatment; CAR-T cell therapy
北京儿童医院,郑胡镛,小儿血液科,3.6,儿童白血病、儿童淋巴瘤、儿童贫血,主任医师，小儿血液专科，在儿童血液系统疾病诊治方面有丰富经验。,cancer treatment; CAR-T cell therapy
北京儿童医院,胡曼,小儿眼科,3.7,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。,ophthalmology
北京儿童医院,胡守龙,小儿眼科,3.8,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。,ophthalmology
北京儿童医院,蒋晶晶,小儿眼科,3.8,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。,ophthalmology
北京儿童医院,李莉,小儿眼科,3.7,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。,ophthalmology
北京儿童医院,于刚,小儿眼科,3.6,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。,ophthalmology
北京儿童医院,余继锋,小儿眼科,3.8,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。,ophthalmology
北京儿童医院,赵军阳,小儿眼科,3.6,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。,ophthalmology
北京儿童医院,刘磊,小儿整形科,5.0,先天性畸形整形、唇腭裂修复、体表肿瘤,主任医师，小儿整形外科专科，从事小儿整形外科工作多年。,hair transplant; cosmetic or plastic surgery
北京儿童医院,王伊宁,小儿整形科,5.0,先天性畸形整形、唇腭裂修复、体表肿瘤,主任医师，小儿整形外科专科，从事小儿整形外科工作多年。,hair transplant; cosmetic or plastic surgery
北京儿童医院,丁枭伟,心血管内科,3.6,心血管内科常见病、多发病诊治,主任医师，心血管内科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京儿童医院,黑明燕,新生儿科,3.7,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。,routine health screening
北京儿童医院,姜敏,新生儿科,3.6,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。,routine health screening
北京儿童医院,陈永卫,新生儿外科,4.4,新生儿外科常见病、多发病诊治,主任医师，新生儿外科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京儿童医院,郭卫红,新生儿外科,3.9,新生儿外科常见病、多发病诊治,主任医师，新生儿外科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京儿童医院,程华,医学影像科,3.4,CT诊断、MRI诊断、X线诊断,主任医师，医学影像专科，在医学影像诊断方面有丰富经验。,radiology/ CT scans
北京儿童医院,陈芳,中医儿科,3.6,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,郝静,中医儿科,3.6,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,何强,中医儿科,3.6,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,胡艳,中医儿科,3.7,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,刘慧丽,中医儿科,3.6,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,卢燕,中医儿科,4.3,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,吕忠礼,中医儿科,3.8,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,杨燕,中医儿科,3.6,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,幺远,中医儿科,4.0,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
北京儿童医院,成海燕,肿瘤外科,3.8,恶性肿瘤外科手术治疗、肿瘤微创手术,主任医师，肿瘤外科专科，在肿瘤外科手术治疗方面有丰富经验。,cancer treatment
北京儿童医院,韩炜,肿瘤外科,3.7,恶性肿瘤外科手术治疗、肿瘤微创手术,主任医师，肿瘤外科专科，在肿瘤外科手术治疗方面有丰富经验。,cancer treatment
北京儿童医院,秦红,肿瘤外科,3.6,恶性肿瘤外科手术治疗、肿瘤微创手术,主任医师，肿瘤外科专科，在肿瘤外科手术治疗方面有丰富经验。,cancer treatment
北京儿童医院,王焕民,肿瘤外科,3.7,恶性肿瘤外科手术治疗、肿瘤微创手术,主任医师，肿瘤外科专科，在肿瘤外科手术治疗方面有丰富经验。,cancer treatment
北京儿童医院,杨维,肿瘤外科,3.6,恶性肿瘤外科手术治疗、肿瘤微创手术,主任医师，肿瘤外科专科，在肿瘤外科手术治疗方面有丰富经验。,cancer treatment
北京儿童医院,祝秀丹,肿瘤外科,3.6,恶性肿瘤外科手术治疗、肿瘤微创手术,主任医师，肿瘤外科专科，在肿瘤外科手术治疗方面有丰富经验。,cancer treatment
北京天坛医院,常青,病理科,3.6,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。,routine health screening
北京天坛医院,张巍,超声科,3.5,腹部超声、心血管超声、妇产科超声,主任医师，超声科专科，在超声诊断方面有丰富经验。,radiology/ CT scans
北京天坛医院,高宝勤,儿科,3.5,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。,routine health screening
北京天坛医院,夏寅,耳鼻喉,3.5,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,李博,放疗科,3.5,放疗科常见病、多发病诊治,主任医师，放疗科专科，从事临床工作多年，具有丰富的临床经验。,cancer treatment
北京天坛医院,陈瑛,妇产科,3.5,高危妊娠、产前诊断与咨询、分娩期并发症处理、围产期保健,主任医师，产科专科，对高危妊娠的管理有丰富经验。,obstetrics; Gynecology treatment
北京天坛医院,顾怡明,感染内科,3.3,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,于秋红,高压氧科,3.0,高压氧科常见病、多发病诊治,主任医师，高压氧科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京天坛医院,孟凡刚,功能神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,孙振荣,功能神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张弨,功能神经外科,4.1,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张建国,功能神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张凯,功能神经外科,4.0,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,李家谋,骨科,3.6,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。,orthopedics
北京天坛医院,刘宝戈,骨科,3.6,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。,orthopedics
北京天坛医院,闫家智,骨科,3.6,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。,orthopedics
北京天坛医院,陈谦,核医学科,3.5,核医学科常见病、多发病诊治,主任医师，核医学科专科，从事临床工作多年，具有丰富的临床经验。,radiology/ CT scans
北京天坛医院,卜小宁,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,任添华,急诊科,3.6,急危重症抢救、心肺复苏、急性中毒,主任医师，急诊科专科，在急危重症救治方面有丰富经验。,routine health screening
北京天坛医院,陈琦,精神科,3.9,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京天坛医院,王春雪,精神科,4.0,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京天坛医院,吴硕琳,精神科,3.7,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京天坛医院,臧大维,康复科,3.6,神经康复、骨科康复、疼痛康复,主任医师，康复科专科，在康复治疗方面有丰富经验。,Rehabilitation & Physiotherapy treatment
北京天坛医院,白保晶,口腔科,3.6,龋病、牙髓病、牙周病,主任医师，口腔科专科，在口腔疾病诊治方面有丰富经验。,dental treatment
北京天坛医院,王昊,口腔科,3.6,龋病、牙髓病、牙周病,主任医师，口腔科专科，在口腔疾病诊治方面有丰富经验。,dental treatment
北京天坛医院,康熙雄,临床检验,3.2,临床检验常见病、多发病诊治,主任医师，临床检验专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京天坛医院,韩如泉,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。,routine health screening
北京天坛医院,金旭,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。,routine health screening
北京天坛医院,康孝荣,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。,routine health screening
北京天坛医院,陆瑜,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。,routine health screening
北京天坛医院,彭宇明,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。,routine health screening
北京天坛医院,张勇,泌尿外科,3.5,泌尿系结石、前列腺疾病、泌尿系肿瘤,主任医师，泌尿外科专科，在泌尿外科疾病诊治方面有丰富经验。,robotic surgery
北京天坛医院,周炜,免疫科,3.4,类风湿关节炎、系统性红斑狼疮、痛风,主任医师，风湿免疫专科，在风湿免疫疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,徐潮,内分泌科,3.8,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,岳学苹,皮肤性病科,3.5,过敏性皮肤病、色素性皮肤病、皮肤肿瘤、性传播疾病,主任医师，皮肤科专科，从事皮肤病临床诊疗工作多年。,hair transplant; skin care
北京天坛医院,孟莉,普通内科,3.3,普通内科常见病、多发病诊治,主任医师，普通内科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京天坛医院,陈应泰,普外科,3.8,胃肠外科、肝胆胰外科、甲状腺乳腺外科,主任医师，普外科专科，在普外科疾病诊治方面有丰富经验。,robotic surgery
北京天坛医院,程石,普外科,3.6,胃肠外科、肝胆胰外科、甲状腺乳腺外科,主任医师，普外科专科，在普外科疾病诊治方面有丰富经验。,robotic surgery
北京天坛医院,马力,全科,3.6,全科常见病、多发病诊治,主任医师，全科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京天坛医院,王丕琳,乳腺外科,3.4,乳腺癌的早期诊断与综合治疗、乳腺良性疾病,主任医师，乳腺外科专科，在乳腺疾病诊治方面有丰富经验。,cancer treatment
北京天坛医院,邓一鸣,神经内科,4.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,冯涛,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,高峰,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,冀瑞俊,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,廖晓凌,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,朴英善,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,邵晓秋,神经内科,3.8,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,孙瑄,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,王蓬莲,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,王群,神经内科,3.9,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,王新高,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,王伊龙,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,王拥军,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,王永刚,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,温淼,神经内科,3.8,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,徐俊,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,杨中华,神经内科,4.4,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,张巍,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,张星虎,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,赵性泉,神经内科,3.6,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。,routine health screening
北京天坛医院,白吉伟,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,曹勇,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,陈峰,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,陈晓霖,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,初君盛,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,高国一,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,韩小弟,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,何江弘,神经外科,4.0,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,季楠,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,贾桂军,神经外科,4.5,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,江涛,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,江裕华,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,姜除寒,神经外科,4.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,姜中利,神经外科,4.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,晋强,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,李欢,神经外科,4.1,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,李文斌,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,李佑祥,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,林松,神经外科,4.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,刘爱华,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,刘佰运,神经外科,4.3,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,刘福生,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,刘健,神经外科,4.0,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,刘恋,神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,刘丕楠,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,刘巍,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,吕明,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,莫大鹏,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,缪中荣,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,穆士卿,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,石林,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,孙立倩,神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,孙彦辉,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,唐铠,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,王亮,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,王嵘,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,王硕,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,王兴朝,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,吴震,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,谢坚,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,辛宇,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,徐宇伦,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,延鹏翔,神经外科,4.4,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,杨岸超,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,杨新健,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,游赣,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,于书卿,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张静波,神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张俊廷,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张力伟,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张鹏飞,神经外科,3.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张谦,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张亚卓,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,张忠,神经外科,4.1,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,赵继宗,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,赵澎,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,周大彪,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,宗绪毅,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。,routine health screening
北京天坛医院,石蕾,肾病内科,3.4,肾病内科常见病、多发病诊治,主任医师，肾病内科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
北京天坛医院,罗芳,疼痛科,3.6,疼痛科常见病、多发病诊治,主任医师，疼痛科专科，从事临床工作多年，具有丰富的临床经验。,routine health screening
